id_num,timestamp,ip,tipo,evento,origen,payload,so,navegador,user_agent,country,country_code,region,city,lat,lon,isp,ip_local,hostname_local,fingerprint_id,flag_tor,flag_vpn
1,2026-01-02T14:30:44Z,192.168.46.213,SENSOR,ERROR,9717a49a-3679-42b3-87f5-840c3f20d128,PNG,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,,,LAN,192.168.46.213,INF-EVILLA.gj.loc,
2,2026-01-02T14:31:01.915585Z,192.168.46.213,EVENT,VIEW,594a22aa-34de-4299-9b59-cd2c54e781ab,HTML,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,0,0,LAN,192.168.46.213,INF-EVILLA.gj.loc,fp_3c7f58fa9ee22e51
3,2026-01-02T14:34:33Z,192.168.46.213,SENSOR,ERROR,9717a49a-3679-42b3-87f5-840c3f20d128,PNG,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,,,LAN,192.168.46.213,INF-EVILLA.gj.loc,
4,2026-01-02T14:34:39.742028Z,192.168.46.213,EVENT,VIEW,594a22aa-34de-4299-9b59-cd2c54e781ab,HTML,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,0,0,LAN,192.168.46.213,INF-EVILLA.gj.loc,fp_3c7f58fa9ee22e51
5,2026-01-02T14:59:26.055392Z,192.168.46.213,EVENT,VIEW,594a22aa-34de-4299-9b59-cd2c54e781ab,HTML,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,0,0,LAN,192.168.46.213,INF-EVILLA.gj.loc,fp_3c7f58fa9ee22e51
6,2026-01-02T14:59:47.776402Z,192.168.46.213,EVENT,VIEW,594a22aa-34de-4299-9b59-cd2c54e781ab,HTML,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,0,0,LAN,192.168.46.213,INF-EVILLA.gj.loc,fp_3c7f58fa9ee22e51
7,2026-01-02T15:01:39.452754Z,192.168.46.213,EVENT,VIEW,594a22aa-34de-4299-9b59-cd2c54e781ab,HTML,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,0,0,LAN,192.168.46.213,INF-EVILLA.gj.loc,fp_3c7f58fa9ee22e51
8,2026-01-02T15:01:51.540625Z,192.168.46.213,EVENT,VIEW,9717a49a-3679-42b3-87f5-840c3f20d128,HTML,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,0,0,LAN,192.168.46.213,INF-EVILLA.gj.loc,fp_3c7f58fa9ee22e51
1,2026-01-02T15:10:31Z,192.168.46.213,SENSOR,ERROR,9717a49a-3679-42b3-87f5-840c3f20d128,PNG,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,,,LAN,192.168.46.213,INF-EVILLA.gj.loc,,False,False
1,2026-01-02T15:12:21Z,192.168.46.213,SENSOR,ERROR,9717a49a-3679-42b3-87f5-840c3f20d128,PNG,Windows 10,Chrome 143.0.0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",LAN,LAN,LAN,LAN,,,LAN,192.168.46.213,INF-EVILLA.gj.loc,,False,False
